조사명,이름,전화번호,소속,1,2,3,4,5,중복횟수,중복여부
테스트조사,홍길동13658,010-7502-1928,C리서치,2,4,1,4,5,2,True
테스트조사,홍길동13764,010-4531-8822,C리서치,3,4,1,5,1,2,True
테스트조사,홍길동13877,010-9405-3709,B리서치,1,3,1,3,5,3,True
테스트조사,홍길동13968,010-2314-9889,B리서치,1,5,4,4,3,2,True
테스트조사,홍길동13973,010-5015-7187,C리서치,3,1,2,2,5,2,True
테스트조사,홍길동14053,010-3748-3077,A리서치,5,4,5,4,5,2,True
테스트조사,홍길동14238,010-7298-1328,C리서치,5,2,2,2,5,2,True
테스트조사,홍길동14241,010-7259-1954,B리서치,5,4,3,3,3,2,True
테스트조사,홍길동14372,010-3513-5290,C리서치,1,1,3,4,5,2,True
테스트조사,홍길동14389,010-9118-3524,A리서치,4,2,2,1,5,2,True
테스트조사,홍길동14448,010-9142-1597,A리서치,4,5,5,4,5,2,True
테스트조사,홍길동14530,010-1418-1464,B리서치,5,5,2,1,1,2,True
테스트조사,홍길동14532,010-1001-8873,A리서치,4,3,4,3,1,2,True
테스트조사,홍길동14810,010-8749-2471,B리서치,3,4,2,5,1,2,True
테스트조사,홍길동14826,010-5338-4775,C리서치,2,3,2,5,5,2,True
테스트조사,홍길동14924,010-6817-2901,C리서치,1,5,2,2,5,2,True
테스트조사,홍길동14965,010-6125-5343,A리서치,4,3,5,4,3,2,True
테스트조사,홍길동15047,010-8619-3442,B리서치,5,5,2,3,2,2,True
테스트조사,홍길동15091,010-1849-9447,C리서치,2,2,5,5,5,2,True
테스트조사,홍길동15128,010-1882-2100,A리서치,4,5,2,1,1,2,True
테스트조사,홍길동15212,010-7630-5794,B리서치,1,3,5,1,3,2,True
테스트조사,홍길동15232,010-8598-2426,C리서치,2,2,5,5,2,2,True
테스트조사,홍길동15263,010-9474-3350,B리서치,1,1,2,5,1,2,True
테스트조사,홍길동15408,010-6894-1862,A리서치,2,5,1,4,4,2,True
테스트조사,홍길동15437,010-3786-8091,B리서치,1,2,2,2,1,2,True
테스트조사,홍길동15499,010-1187-1780,C리서치,5,5,3,2,5,2,True
테스트조사,홍길동15610,010-9355-7078,A리서치,4,3,2,3,2,2,True
테스트조사,홍길동15644,010-2583-5627,A리서치,2,2,5,2,3,2,True
테스트조사,홍길동16032,010-4207-2105,C리서치,5,4,3,5,4,2,True
테스트조사,홍길동16220,010-8318-6413,B리서치,5,4,2,1,2,2,True
테스트조사,홍길동16249,010-5687-4643,A리서치,1,4,5,4,2,2,True
테스트조사,홍길동16391,010-6979-3826,A리서치,5,2,1,3,5,2,True
테스트조사,홍길동16429,010-6818-2411,C리서치,4,1,2,2,2,2,True
테스트조사,홍길동16609,010-7300-5453,C리서치,5,3,3,5,5,2,True
테스트조사,홍길동16652,010-9579-3370,C리서치,2,4,5,2,5,2,True
테스트조사,홍길동16692,010-1806-1624,B리서치,2,2,3,3,1,2,True
테스트조사,홍길동16713,010-9041-7560,A리서치,1,4,4,5,4,2,True
테스트조사,홍길동16729,010-8397-6866,B리서치,1,2,5,5,3,2,True
테스트조사,홍길동16790,010-1666-9543,B리서치,1,1,1,1,3,2,True
테스트조사,홍길동16813,010-9933-5913,C리서치,1,1,1,5,4,2,True
테스트조사,홍길동16850,010-2452-5781,A리서치,4,5,5,1,3,2,True
테스트조사,홍길동16888,010-6431-3943,B리서치,5,1,1,5,2,2,True
테스트조사,홍길동16891,010-4795-6416,C리서치,1,3,1,1,3,2,True
테스트조사,홍길동16986,010-4965-4175,B리서치,2,3,3,1,1,2,True
테스트조사,홍길동17184,010-9665-6338,A리서치,1,4,4,1,4,2,True
테스트조사,홍길동17197,010-7345-5848,B리서치,1,5,4,4,2,2,True
테스트조사,홍길동17243,010-2333-5774,C리서치,5,4,2,3,1,2,True
테스트조사,홍길동17258,010-5562-9893,A리서치,1,2,4,5,2,2,True
테스트조사,홍길동17565,010-6077-2693,A리서치,4,2,2,5,2,2,True
테스트조사,홍길동17601,010-4343-9506,A리서치,1,4,4,4,1,2,True
테스트조사,홍길동17657,010-1355-6633,B리서치,4,1,5,1,3,2,True
테스트조사,홍길동17870,010-4093-9463,B리서치,3,5,3,2,2,2,True
테스트조사,홍길동17929,010-6146-4365,B리서치,4,2,5,1,2,2,True
테스트조사,홍길동17975,010-4111-4944,A리서치,1,1,1,2,2,2,True
테스트조사,홍길동17996,010-2515-1816,B리서치,1,4,5,4,3,2,True
테스트조사,홍길동18032,010-1880-2523,C리서치,3,4,1,5,3,2,True
테스트조사,홍길동18036,010-4852-1909,B리서치,2,3,3,5,4,2,True
테스트조사,홍길동18046,010-6177-1135,B리서치,3,2,4,4,3,2,True
테스트조사,홍길동18120,010-6396-7229,A리서치,5,3,2,2,4,2,True
테스트조사,홍길동18364,010-4943-4945,C리서치,4,2,3,4,2,2,True
테스트조사,홍길동18432,010-3519-3007,A리서치,1,1,4,2,1,2,True
테스트조사,홍길동18487,010-9376-5763,A리서치,2,4,2,5,1,2,True
테스트조사,홍길동18549,010-7878-2947,B리서치,1,4,4,4,4,2,True
테스트조사,홍길동18667,010-7852-5680,A리서치,3,2,1,5,2,2,True
테스트조사,홍길동18726,010-8916-2398,C리서치,3,2,4,1,5,2,True
테스트조사,홍길동18799,010-1682-4974,A리서치,3,1,4,4,2,2,True
테스트조사,홍길동18848,010-5709-5882,B리서치,1,2,2,2,1,2,True
테스트조사,홍길동18849,010-8737-2077,B리서치,4,2,2,1,2,2,True
테스트조사,홍길동18871,010-3586-3108,B리서치,2,4,5,4,1,2,True
테스트조사,홍길동18939,010-7455-1826,A리서치,4,4,5,4,2,2,True
테스트조사,홍길동18950,010-2945-5358,C리서치,3,1,2,1,3,2,True
테스트조사,홍길동18983,010-4417-9730,C리서치,4,5,1,2,3,2,True
테스트조사,홍길동19030,010-6098-5432,A리서치,2,1,2,3,4,2,True
테스트조사,홍길동19096,010-2315-7889,B리서치,1,2,1,2,3,2,True
테스트조사,홍길동19097,010-8921-8137,A리서치,3,1,5,1,1,2,True
테스트조사,홍길동19213,010-2942-2343,A리서치,1,2,4,5,4,2,True
테스트조사,홍길동19246,010-7607-3677,A리서치,4,4,4,2,1,2,True
테스트조사,홍길동19329,010-9117-2715,A리서치,1,3,5,2,5,2,True
테스트조사,홍길동19427,010-4242-9182,C리서치,2,2,3,2,5,2,True
테스트조사,홍길동19491,010-4175-2898,B리서치,3,2,3,2,1,2,True
테스트조사,홍길동19504,010-4997-9346,B리서치,4,5,1,2,4,2,True
테스트조사,홍길동19561,010-1127-2833,B리서치,5,4,4,3,3,2,True
테스트조사,홍길동19684,010-1586-6586,C리서치,5,5,4,3,2,2,True
테스트조사,홍길동19709,010-4227-4654,C리서치,2,4,3,3,1,2,True
테스트조사,홍길동19710,010-1698-4453,B리서치,4,5,1,2,3,2,True
테스트조사,홍길동19718,010-5371-3134,C리서치,5,1,4,3,2,2,True
테스트조사,홍길동19766,010-1254-2374,B리서치,4,5,3,5,5,2,True
테스트조사,홍길동19816,010-7310-5730,A리서치,5,4,2,5,4,2,True
테스트조사,홍길동19867,010-7414-2248,A리서치,3,5,4,1,4,2,True
테스트조사,홍길동19992,010-7540-8487,A리서치,1,2,4,1,5,2,True
테스트조사,홍길동20103,010-1199-7807,C리서치,1,4,4,4,2,2,True
테스트조사,홍길동20105,010-7496-9849,A리서치,2,4,4,3,4,2,True
테스트조사,홍길동20113,010-7797-6624,B리서치,3,4,3,4,1,2,True
테스트조사,홍길동20165,010-6845-8255,B리서치,1,2,5,3,5,2,True
테스트조사,홍길동20181,010-8628-5922,A리서치,4,2,3,1,1,2,True
테스트조사,홍길동20291,010-7099-2475,C리서치,1,4,4,4,4,2,True
테스트조사,홍길동20365,010-3453-2620,A리서치,1,1,5,5,2,2,True
테스트조사,홍길동20370,010-9110-5772,C리서치,1,4,3,3,3,2,True
테스트조사,홍길동20438,010-4565-8720,B리서치,2,1,1,2,1,2,True
테스트조사,홍길동20533,010-7207-8882,C리서치,2,3,1,5,5,2,True
테스트조사,홍길동20646,010-8622-2480,B리서치,3,5,4,4,2,2,True
테스트조사,홍길동20765,010-3175-1344,B리서치,5,4,2,2,4,2,True
테스트조사,홍길동20777,010-4860-7518,B리서치,3,3,2,4,4,2,True
테스트조사,홍길동20836,010-1780-7117,A리서치,3,5,5,1,1,2,True
테스트조사,홍길동20935,010-1343-2903,C리서치,2,4,4,2,2,2,True
테스트조사,홍길동20972,010-9102-7276,A리서치,4,5,4,3,4,2,True
테스트조사,홍길동21044,010-5569-9536,C리서치,2,3,3,2,2,2,True
테스트조사,홍길동21090,010-6138-2301,C리서치,2,2,3,5,3,2,True
테스트조사,홍길동21142,010-9294-4272,B리서치,1,2,5,4,4,2,True
테스트조사,홍길동21302,010-3806-9356,B리서치,3,4,3,3,3,2,True
테스트조사,홍길동21374,010-8390-2721,B리서치,2,1,2,3,2,2,True
테스트조사,홍길동21380,010-2996-7115,A리서치,3,3,2,2,2,2,True
테스트조사,홍길동21446,010-6210-9410,B리서치,3,5,5,2,3,2,True
테스트조사,홍길동21538,010-2672-5418,C리서치,1,3,5,3,2,2,True
테스트조사,홍길동21564,010-5839-5024,B리서치,4,4,2,2,4,2,True
테스트조사,홍길동21808,010-6497-5528,B리서치,3,1,2,3,2,2,True
테스트조사,홍길동21872,010-9902-4723,A리서치,2,1,1,4,4,2,True
테스트조사,홍길동21916,010-9539-7089,C리서치,5,3,1,1,2,2,True
테스트조사,홍길동21993,010-3656-7195,A리서치,4,1,1,4,1,2,True
테스트조사,홍길동21997,010-1329-8983,C리서치,2,5,1,4,1,2,True
테스트조사,홍길동22105,010-7387-7825,B리서치,4,3,1,1,1,2,True
테스트조사,홍길동22205,010-8062-6625,A리서치,1,2,2,2,5,2,True
테스트조사,홍길동22213,010-4303-6338,B리서치,3,3,3,2,1,2,True
테스트조사,홍길동22217,010-4219-3890,C리서치,5,4,4,1,1,2,True
테스트조사,홍길동22231,010-9687-5414,B리서치,2,2,3,4,1,2,True
테스트조사,홍길동22267,010-6041-9255,B리서치,1,1,5,2,5,2,True
테스트조사,홍길동22275,010-4385-8539,B리서치,5,4,5,3,5,2,True
테스트조사,홍길동22290,010-1932-7127,B리서치,5,4,2,2,5,2,True
테스트조사,홍길동22323,010-7351-3894,B리서치,2,3,5,3,5,2,True
테스트조사,홍길동22332,010-5564-6831,A리서치,1,1,1,4,5,2,True
테스트조사,홍길동22345,010-7498-6255,A리서치,2,1,1,4,5,2,True
테스트조사,홍길동22378,010-9536-7845,A리서치,1,1,2,4,5,2,True
테스트조사,홍길동22397,010-9705-4248,B리서치,4,2,3,5,4,2,True
테스트조사,홍길동22416,010-3835-1588,B리서치,4,1,4,4,1,2,True
테스트조사,홍길동22487,010-2945-6754,A리서치,3,1,4,4,4,2,True
테스트조사,홍길동22501,010-5454-6718,B리서치,1,3,4,5,2,2,True
테스트조사,홍길동22529,010-8631-6679,B리서치,4,3,4,4,2,2,True
테스트조사,홍길동22670,010-1548-3391,C리서치,5,1,1,1,5,2,True
테스트조사,홍길동22691,010-1159-9640,B리서치,3,5,2,2,5,2,True
테스트조사,홍길동22817,010-7513-1066,C리서치,1,4,4,2,1,2,True
테스트조사,홍길동22826,010-9537-2414,C리서치,2,1,5,3,5,2,True
테스트조사,홍길동22829,010-3652-8177,A리서치,4,4,1,3,1,2,True
테스트조사,홍길동22830,010-1511-5086,A리서치,1,5,1,5,1,2,True
테스트조사,홍길동23175,010-5839-5024,B리서치,2,2,1,2,4,2,True
테스트조사,홍길동23265,010-8701-2597,C리서치,1,3,3,5,2,2,True
테스트조사,홍길동23342,010-4200-1692,C리서치,5,5,5,5,3,2,True
테스트조사,홍길동23558,010-1552-8735,C리서치,2,4,5,5,1,2,True
테스트조사,홍길동23576,010-8267-8914,C리서치,1,3,3,2,2,2,True
테스트조사,홍길동23641,010-7344-8461,B리서치,4,5,3,2,5,2,True
테스트조사,홍길동23788,010-7753-2500,B리서치,4,5,1,3,5,2,True
테스트조사,홍길동23823,010-9152-6160,C리서치,3,3,1,4,2,2,True
테스트조사,홍길동23856,010-8408-4903,A리서치,4,3,4,2,3,2,True
테스트조사,홍길동24279,010-2838-9719,A리서치,4,4,4,5,2,2,True
테스트조사,홍길동24372,010-5186-7417,C리서치,3,5,1,2,4,2,True
테스트조사,홍길동24490,010-9087-5432,B리서치,1,3,4,5,4,2,True
테스트조사,홍길동24635,010-9871-1175,B리서치,1,2,3,2,4,2,True
테스트조사,홍길동24691,010-4792-6455,C리서치,5,3,3,5,2,2,True
테스트조사,홍길동24803,010-7498-6255,C리서치,3,1,1,3,2,2,True
테스트조사,홍길동24928,010-6930-9942,B리서치,2,1,4,4,5,2,True
테스트조사,홍길동24949,010-1457-7292,A리서치,5,4,2,3,4,2,True
테스트조사,홍길동24993,010-5419-3701,C리서치,2,2,5,1,1,2,True
테스트조사,홍길동25133,010-8490-3994,B리서치,2,3,3,4,1,2,True
테스트조사,홍길동25196,010-7631-3349,C리서치,2,3,1,1,1,2,True
테스트조사,홍길동25234,010-3883-8066,A리서치,3,1,5,3,5,2,True
테스트조사,홍길동25579,010-6950-6978,B리서치,2,4,1,4,1,2,True
테스트조사,홍길동26006,010-1622-6499,C리서치,2,1,4,2,3,2,True
테스트조사,홍길동26089,010-1305-8739,A리서치,2,3,2,1,5,2,True
테스트조사,홍길동26183,010-3234-2976,A리서치,2,2,4,5,1,2,True
테스트조사,홍길동26307,010-8774-5230,C리서치,3,3,1,2,5,2,True
테스트조사,홍길동26526,010-1256-3120,C리서치,4,3,1,5,5,2,True
테스트조사,홍길동26764,010-6344-8596,B리서치,4,5,5,3,5,2,True
테스트조사,홍길동26783,010-9687-5414,C리서치,1,1,3,5,5,2,True
테스트조사,홍길동27057,010-2533-2554,C리서치,3,4,2,4,5,2,True
테스트조사,홍길동27625,010-5803-8992,C리서치,2,4,3,3,3,2,True
테스트조사,홍길동27648,010-4528-7032,A리서치,3,4,3,3,5,2,True
테스트조사,홍길동27749,010-5162-8021,A리서치,1,5,1,4,3,2,True
